iter	RMSE
0	2.21026424
1	2.18217314
2	2.157714155
3	2.134328546
4	2.11105126
5	2.08794785
6	2.066003907
7	2.038166786
8	2.009029386
9	1.98688578
10	1.967520452
11	1.948673715
12	1.929903334
13	1.913318899
14	1.896585341
15	1.878038277
16	1.856906142
17	1.840663544
18	1.825526891
19	1.809633632
20	1.796436543
21	1.779451141
22	1.763287903
23	1.751956122
24	1.735662263
25	1.717295302
26	1.69979473
27	1.688538701
28	1.67685943
29	1.661200943
30	1.648122264
31	1.634798425
32	1.62015193
33	1.609007084
34	1.596783248
35	1.587116621
36	1.575796878
37	1.566076141
38	1.554858509
39	1.545634759
40	1.537664181
41	1.529575256
42	1.518726485
43	1.510126089
44	1.502118201
45	1.490300592
46	1.479726174
47	1.470603788
48	1.463070116
49	1.453636846
50	1.446929245
51	1.438749519
52	1.429453655
53	1.422379223
54	1.415522587
55	1.408143857
56	1.402562415
57	1.395853547
58	1.385370078
59	1.378758599
60	1.372129495
61	1.364377363
62	1.359324464
63	1.353923875
64	1.347255387
65	1.341411742
66	1.335471088
67	1.329936708
68	1.324868549
69	1.317416622
70	1.311297359
71	1.307911902
72	1.302236711
73	1.298701654
74	1.294557191
75	1.289948505
76	1.285511855
77	1.281104623
78	1.274180679
79	1.269766705
80	1.265461959
81	1.262898357
82	1.256293548
83	1.253158126
84	1.247443757
85	1.242268164
86	1.238965649
87	1.235772383
88	1.230818717
89	1.225384931
90	1.220040462
91	1.216508041
92	1.2116745
93	1.207549275
94	1.202490646
95	1.198910861
96	1.197012355
97	1.193952148
98	1.189961424
99	1.186186285
100	1.180853324
101	1.177042247
102	1.173914044
103	1.169433596
104	1.16208683
105	1.158558812
106	1.154341785
107	1.151326474
108	1.146431756
109	1.141041168
110	1.136204864
111	1.132737484
112	1.1291702
113	1.125869071
114	1.121379688
115	1.116417901
116	1.110720699
117	1.108815397
118	1.102595246
119	1.098767499
120	1.093976054
121	1.090553519
122	1.086033689
123	1.082599026
124	1.079441107
125	1.076079803
126	1.07200396
127	1.068075408
128	1.064275954
129	1.062027047
130	1.056895998
131	1.054234524
132	1.048881307
133	1.044534107
134	1.040339545
135	1.037222188
136	1.035164756
137	1.032186611
138	1.029554157
139	1.025776216
140	1.022026988
141	1.019867425
142	1.017107657
143	1.013078264
144	1.009201824
145	1.005858298
146	1.001024657
147	0.9974635771
148	0.9944301205
149	0.9908222921
150	0.9862678532
151	0.9837752033
152	0.9811923855
153	0.9776201461
154	0.9753931638
155	0.9731119018
156	0.9697914927
157	0.9675123129
158	0.9638153449
159	0.96038877
160	0.9583907957
161	0.9562207182
162	0.9522637869
163	0.9481397229
164	0.9462428916
165	0.9439235851
166	0.9414597318
167	0.939442242
168	0.9375856799
169	0.9362813482
170	0.9350291105
171	0.9323340771
172	0.9295122701
173	0.9271142573
174	0.9243687866
175	0.9225382331
176	0.9198848355
177	0.9176454703
178	0.9152490311
179	0.9113070328
180	0.9092589415
181	0.906814529
182	0.9028845332
183	0.9006346161
184	0.8966589376
185	0.8945730108
186	0.8907688531
187	0.8865873692
188	0.8839799943
189	0.8813253688
190	0.8784066001
191	0.8766268828
192	0.8740422877
193	0.8717050388
194	0.8695790531
195	0.8680363064
196	0.8667319788
197	0.864322448
198	0.8603957544
199	0.8571353803
200	0.8544681955
201	0.852288945
202	0.848964326
203	0.8474432315
204	0.8452082648
205	0.8416943584
206	0.8386150511
207	0.836213165
208	0.8333124022
209	0.8315843154
210	0.8287565135
211	0.8250531775
212	0.8227717718
213	0.8191294745
214	0.8163755619
215	0.8137230417
216	0.8114501921
217	0.8103871418
218	0.8088454517
219	0.8058899041
220	0.8041693871
221	0.8027250151
222	0.7989477223
223	0.7958454734
224	0.7930975303
225	0.7886746015
226	0.7866684473
227	0.7853109025
228	0.7821662889
229	0.779943196
230	0.7778758341
231	0.775766477
232	0.7747373474
233	0.7718566366
234	0.7684922492
235	0.7668750562
236	0.7648496665
237	0.7637269523
238	0.7612182675
239	0.7582413899
240	0.7557635101
241	0.7532748368
242	0.7497168737
243	0.7472893967
244	0.7447928562
245	0.7407503795
246	0.7386416945
247	0.7359395488
248	0.7336844005
249	0.7307270324
250	0.7278810369
251	0.7253903238
252	0.7235385776
253	0.7211740861
254	0.7190417002
255	0.7157992052
256	0.7132652853
257	0.7093229164
258	0.7071264501
259	0.7047966379
260	0.7029186426
261	0.6986466733
262	0.6966419322
263	0.6948924265
264	0.6923301082
265	0.6897606996
266	0.6893612943
267	0.6864977273
268	0.6858945591
269	0.6834167763
270	0.6826591862
271	0.680376033
272	0.6775516158
273	0.6769414111
274	0.67407203
275	0.6710846042
276	0.6684882677
277	0.6660491478
278	0.6628712234
279	0.6605891957
280	0.6585032333
281	0.6561411216
282	0.6533371197
283	0.6500079455
284	0.6480641182
285	0.6444843478
286	0.6420291948
287	0.6403254679
288	0.637927966
289	0.6357194497
290	0.6333567175
291	0.6313362732
292	0.6287161518
293	0.6268388021
294	0.6237067833
295	0.6213329441
296	0.6189488363
297	0.6170997519
298	0.6151149145
299	0.6126371242
300	0.6120536577
301	0.6114225887
302	0.6093537499
303	0.608189697
304	0.6054602856
305	0.6028888035
306	0.6015457269
307	0.5997107638
308	0.5978138156
309	0.5962337944
310	0.5945615301
311	0.5936832965
312	0.5931076776
313	0.5925767882
314	0.5909295929
315	0.5900530347
316	0.58795806
317	0.5860593276
318	0.58387229
319	0.5819803653
320	0.5814994552
321	0.5795812365
322	0.5784088343
323	0.5764804106
324	0.5741812724
325	0.5728659659
326	0.5712853691
327	0.5702227083
328	0.5687961197
329	0.5669137037
330	0.565461401
331	0.5636307531
332	0.5618960514
333	0.5593078077
334	0.5573516294
335	0.5561599546
336	0.55379003
337	0.5517747819
338	0.5500071543
339	0.5484289851
340	0.5469676787
341	0.5452308056
342	0.5440732827
343	0.5422212372
344	0.5414399179
345	0.540585313
346	0.5396178329
347	0.5392147779
348	0.5377359866
349	0.5363440208
350	0.5343431751
351	0.5339454377
352	0.5334570477
353	0.5319476957
354	0.5300489805
355	0.5278569316
356	0.5264749256
357	0.5260412661
358	0.5240429146
359	0.523147482
360	0.5227067212
361	0.5214480113
362	0.5194834318
363	0.5183199022
364	0.5174723586
365	0.5170230019
366	0.5142565865
367	0.5131931157
368	0.5127428344
369	0.5113708079
370	0.5110175241
371	0.5101206637
372	0.507482775
373	0.5059067477
374	0.5041860794
375	0.5029884722
376	0.5015728137
377	0.4995351232
378	0.4979783453
379	0.4975600233
380	0.4964049628
381	0.4947616203
382	0.4932665445
383	0.4912887142
384	0.4903343047
385	0.4889406022
386	0.4871471259
387	0.4868937846
388	0.4851641103
389	0.484815278
390	0.4834785368
391	0.4816331394
392	0.4813861268
393	0.4804366686
394	0.4792597046
395	0.4777891111
396	0.4762856495
397	0.4759368523
398	0.4752632412
399	0.4738127081
400	0.472264701
401	0.4705037315
402	0.468731204
403	0.4675069153
404	0.4662332316
405	0.4652208001
406	0.4649440187
407	0.4647106973
408	0.4644304018
409	0.4631599984
410	0.4620244304
411	0.4602421975
412	0.4587553963
413	0.4570724812
414	0.4559960733
415	0.4547550472
416	0.454547393
417	0.453167684
418	0.4516335056
419	0.4504422487
420	0.4486163004
421	0.4471050399
422	0.4468752077
423	0.4466632555
424	0.4444682984
425	0.4430707017
426	0.441761845
427	0.4404271594
428	0.4389819809
429	0.4377964279
430	0.4363204691
431	0.4349490751
432	0.4341476912
433	0.4331392113
434	0.4318563322
435	0.4307742428
436	0.4305612042
437	0.429320274
438	0.4273515806
439	0.4259512384
440	0.4245437192
441	0.423502709
442	0.4215225851
443	0.4205958252
444	0.4198336848
445	0.4184861045
446	0.4179906294
447	0.4164714428
448	0.415988144
449	0.4149905965
450	0.413847399
451	0.4126255289
452	0.4124305389
453	0.4109573845
454	0.409521134
455	0.4082303142
456	0.4065248584
457	0.4058264138
458	0.4046814304
459	0.4042251242
460	0.4031306597
461	0.4029411833
462	0.4018190984
463	0.4007453042
464	0.3999050634
465	0.3990277913
466	0.3983251148
467	0.3981149431
468	0.3969719262
469	0.3959193101
470	0.395085646
471	0.3942587167
472	0.3940540501
473	0.3938242781
474	0.3925562935
475	0.3922911359
476	0.3921034598
477	0.3910434578
478	0.3898995836
479	0.3896919025
480	0.3883704705
481	0.3874712624
482	0.3873370296
483	0.3862308944
484	0.3852920853
485	0.3843191806
486	0.3831989044
487	0.38207189
488	0.3810060865
489	0.3803326454
490	0.3801926475
491	0.3788676953
492	0.3786877508
493	0.3781040542
494	0.3777262871
