Molecule,Pred Ki,Confidence,Pred Scale
1,44.98953171318927,Confident,+
2,39.5816653996507,Confident,+
3,15.860325619478147,Confident,+
4,16.82323025900747,Confident,+
5,33.636101597512244,Confident,+
6,40.3189132661317,Confident,+
7,40.3189132661317,Confident,+
8,40.3189132661317,Confident,+
9,45.52913655021989,Confident,+
10,5.134110818168363,Confident,+
11,5.134110818168363,Confident,+
12,6.626586589519885,Confident,+
13,6.626586589519885,Confident,+
14,6.626586589519885,Confident,+
15,6.626586589519885,Confident,+
16,10.649378049208524,Confident,+
17,10.649378049208524,Confident,+
18,5.028980100395334,Confident,+
19,5.028980100395334,Confident,+
20,44.8703054327775,Confident,+
21,44.8703054327775,Confident,+
22,13.481136176239168,Confident,+
23,13.481136176239168,Confident,+
24,19.17664470885827,Confident,+
25,19.17664470885827,Confident,+
26,104.23673460975186,Confident,++
27,104.23673460975186,Confident,++
28,100.0422812351359,Confident,++
29,100.0422812351359,Confident,++
30,22.580069470659545,Confident,+
31,22.580069470659545,Confident,+
32,24.71295609746151,Confident,+
33,24.71295609746151,Confident,+
34,67.63314370980757,Confident,++
35,67.63314370980757,Confident,++
36,57.90705222243355,Confident,++
37,57.90705222243355,Confident,++
38,76.94077810561257,Confident,++
39,76.94077810561257,Confident,++
40,19.42410595975622,Confident,+
41,19.42410595975622,Confident,+
42,23.525703588300914,Confident,+
43,23.525703588300914,Confident,+
44,36.15688046367986,Confident,+
45,36.15688046367986,Confident,+
46,16.31721005308836,Confident,+
47,16.31721005308836,Confident,+
48,13.899653996809594,Confident,+
49,13.899653996809594,Confident,+
50,13.899653996809594,Confident,+
51,13.899653996809594,Confident,+
52,31.536151962659886,Confident,+
53,31.536151962659886,Confident,+
54,39.56814159332342,Confident,+
55,39.56814159332342,Confident,+
56,62.31807458926469,Confident,++
57,43.51344796474855,Confident,+
58,19.726755542578992,Confident,+
59,19.726755542578992,Confident,+
60,41.89132505862339,Confident,+
61,41.89132505862339,Confident,+
62,72.05798039795889,Confident,++
63,72.05798039795889,Confident,++
64,67.16545640249079,Confident,++
65,67.16545640249079,Confident,++
66,70.47869648864463,Confident,++
67,67.81088969822382,Confident,++
68,67.81088969822382,Confident,++
69,52.15070799212009,Confident,++
70,52.15070799212009,Confident,++
71,26.69756119602554,Confident,+
72,26.69756119602554,Confident,+
73,26.69756119602554,Confident,+
74,27.925779657647976,Confident,+
75,4.18494839626287,Confident,+
76,90.93452397108392,Confident,++
77,66.87089764888658,Confident,++
78,24.900036705276968,Confident,+
79,24.900036705276968,Confident,+
80,66.02972880786214,Confident,++
81,19.727663013855988,Confident,+
82,54.8799911785485,Confident,++
83,124.27056505978896,Confident,++
84,56.138698250928485,Confident,++
85,29.88504241271367,Confident,+
86,29.88504241271367,Confident,+
87,192.72932443326945,Confident,++
88,94.36667359816265,Confident,++
89,47.182100377201095,Confident,+
90,47.182100377201095,Confident,+
91,46.09749472686412,Confident,+
92,30.766356424249427,Confident,+
93,281.85883121731837,Confident,++
94,62.75878261199855,Confident,++
95,36.85425912297681,Confident,+
96,38.3499162735056,Confident,+
97,38.61854438323748,Confident,+
98,45.46873661028456,Confident,+
99,45.46873661028456,Confident,+
100,73.15918359707798,Confident,++
101,98.57556540488645,Confident,++
102,15.377323303281509,Confident,+
103,15.377323303281509,Confident,+
104,15.377323303281509,Confident,+
105,15.377323303281509,Confident,+
106,19.516725268049836,Confident,+
107,19.516725268049836,Confident,+
108,19.516725268049836,Confident,+
109,398.5967986257744,Confident,++
110,13.580728606918044,Confident,+
